96;58;117.2670697111
116;99;119.6053830551
116;110;119.6053830551
120;71;120.0730457239
120;102;120.0730457239
140;108;122.4113590679
144;79;122.8790217367
160;181;124.7496724119
164;116;125.2173350807
168;94;125.6849977495
168;121;125.6849977495
168;125;125.6849977495
188;225;128.0233110935
192;219;128.4909737623
220;264;131.7646124439
220;111;131.7646124439
240;112;134.1029257879
264;156;136.9089018007
288;122;139.7148778135
292;136;140.1825404823
307;94;141.9362754903
308;102;142.0531911575
312;122;142.5208538263
336;129;145.3268298391
336;131;145.3268298391
336;125;145.3268298391
340;112;145.7944925079
344;184;146.2621551767
360;146;148.1328058519
383;111;150.8218661975
391;109;151.7571915351
408;249;153.7447578775
408;203;153.7447578775
415;147;154.5631675479
419;131;155.0308302167
427;111;155.9661555543
447;124;158.3044688983
475;131;161.5781075799
499;208;164.3840835927
503;165;164.8517462615
507;258;165.3194089303
519;129;166.7223969367
527;164;167.6577222743
531;214;168.1253849431
567;166;172.3343489623
567;220;172.3343489623
579;198;173.7373369687
619;201;178.4139636567
623;236;178.8816263255
651;158;182.1552650071
655;240;182.6229276759
667;158;184.0259156823
667;213;184.0259156823
671;285;184.4935783511
675;139;184.9612410199
675;222;184.9612410199
683;198;185.8965663575
683;158;185.8965663575
703;198;188.2348797015
715;159;189.6378677079
715;244;189.6378677079
731;132;191.5085183831
747;147;193.3791690583
771;116;196.1851450711
791;187;198.5234584151
815;156;201.3294344279
827;223;202.7324224343
827;185;202.7324224343
843;181;204.6030731095
847;171;205.0707357783
863;205;206.9413864535
871;218;207.8767117911
891;193;210.2150251351
915;258;213.0210011479
919;212;213.4886638167
