input	1minusEpsil10	1minusEpsil3	epsil2	epsil3	epsil10
-0.2	0.0	0.0	0.0	0.0	0.0
-0.14	0.0	0.0	0.0	0.0	0.0
-0.08000000000000002	0.0	0.0	0.0	0.0	0.0
-0.020000000000000018	0.0	0.0	0.0	0.0	0.0
0.03999999999999998	0.016000000000000028	0.0048000000000000265	0.0031999999999999806	0.0024000000000000687	0.001777777777777767
0.09999999999999998	0.09999999999999998	0.030000000000000027	0.020000000000000018	0.015000000000000013	0.011111111111111183
0.15999999999999998	0.21599999999999986	0.07679999999999992	0.05119999999999991	0.03839999999999999	0.028444444444444494
0.2	0.28888888888888886	0.11999999999999997	0.07999999999999996	0.06000000000000005	0.0444444444444444
0.30000000000000004	0.45555555555555566	0.27000000000000013	0.18000000000000005	0.135	0.09999999999999998
0.4	0.6000000000000001	0.4600000000000001	0.32000000000000006	0.2400000000000001	0.1777777777777778
0.5	0.7222222222222222	0.625	0.5	0.37500000000000006	0.2777777777777778
0.6	0.8222222222222222	0.76	0.6799999999999999	0.54	0.3999999999999999
0.7	0.9	0.865	0.82	0.73	0.5444444444444444
0.7999999999999999	0.9555555555555555	0.94	0.9199999999999999	0.88	0.711111111111111
0.8999999999999999	0.9888888888888888	0.985	0.98	0.97	0.8999999999999999
0.9999999999999999	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0
1.06	1.0	1.0	1.0	1.0	1.0
1.12	1.0	1.0	1.0	1.0	1.0
1.1800000000000002	1.0	1.0	1.0	1.0	1.0

